ID;Lat;Lon;SAMPLE_1
Addishi;43.02463086;43.01716005;78.30000305
Blaisen;60.554821;7.492456889;30.29999924
Bonaparte;-64.75502144;-64.03676427;
Castle Creek;53.0346;-120.4596;104.3000031
Ecology;-62.18295167;-58.47022901;
El Morado;-33.73780091;-70.06513064;21
Exploradores;-46.5166;-73.1666;30.70000076
Falljokull;63.9767271;-16.769957;116.3000031
Forni;46.39383461;10.58866174;28
Gries;46.44341;8.337930974;48
Grigoriev;41.975833;77.913333;5.900000095
Gulkana;63.25;-145.416667;20.10000038
Hansbreen;77.0312;15.6479;33.90000153
Isfallsglaci?ren;67.91483;18.5663;37.40000153
Iver;-33.25;-70.2166;18.29999924
Midtre Lov?nbreen;78.885;12.0495;44.90000153
Morterasch;46.39872903;9.920244756;32.5
Recherchebreen;77.4496;14.7978;41.40000153
Renardbreen;77.5238;14.4284;45
Scottbreen;77.5514;14.365;46.90000153
Suntarhyata No.29-31;62.583333;140.85;10.5
Tsanteleina;45.4799;7.046;81.59999847
Tyndall;-51.2166;-73.2833;61
Urumqi  No.1;43.116667;86.8;3.099999905
Vestre Broggerbreen;78.9006;11.8187;48.29999924
Waldemarbreen;78.6783;12.0584;50.29999924
Werenskioldbreen;77.0764;15.3202;39.09999847
Yala;28.23;85.61;16.60000038
Zebru;46.478611;10.568056;28.20000076
