ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,111.400001525879
Blaisen,60.554821,7.492456889,56
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,105
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,24.7999992370605
Exploradores,-46.5166,-73.1666,153.399993896484
Falljokull,63.9767271,-16.769957,196.600006103516
Forni,46.39383461,10.58866174,83.5999984741211
Gries,46.44341,8.337930974,128
Grigoriev,41.975833,77.913333,9.69999980926514
Gulkana,63.25,-145.416667,35.5
Hansbreen,77.0312,15.6479,25.2000007629395
Isfallsglaci?ren,67.91483,18.5663,29.5
Iver,-33.25,-70.2166,14.6000003814697
Midtre Lov?nbreen,78.885,12.0495,47.5
Morterasch,46.39872903,9.920244756,91.4000015258789
Recherchebreen,77.4496,14.7978,33.9000015258789
Renardbreen,77.5238,14.4284,40.0999984741211
Scottbreen,77.5514,14.365,42
Suntarhyata No.29-31,62.583333,140.85,7.90000009536743
Tsanteleina,45.4799,7.046,173.100006103516
Tyndall,-51.2166,-73.2833,123
Urumqi  No.1,43.116667,86.8,7.30000019073486
Vestre Broggerbreen,78.9006,11.8187,50.5999984741211
Waldemarbreen,78.6783,12.0584,53.0999984741211
Werenskioldbreen,77.0764,15.3202,30.3999996185303
Yala,28.23,85.61,83.5999984741211
Zebru,46.478611,10.568056,90
